GIMIMO_METAI,GIMIMO_VALSTYBE,LYTIS,SEIMOS_PADETIS,KIEK_TURI_VAIKU,SENIUNIJA,GATVE,SENIUNNR,TER_REJ_KODAS,GATV_K,GAT_ID
2005,LTU,M,,0,Naujamiestis,"Gedimino pr.",17,G1,0135,21991
1983,LTU,M,I,0,Rasos,"Liepkalnio g.",15,G1,0286,22136
1980,LTU,V,V,3,Pašilaičiai,"Girulių g.",7,G1,2707,64992
1949,LTU,V,N,0,Naujininkai,"Šaltkalvių g.",19,G1,0646,22478
1980,LTU,V,V,2,Pilaitė,"Pilaitės Sodų g.",12,G1,2779,67441
1999,LTU,V,,0,,,,G1,0249,
1962,LTU,M,V,0,Verkiai,"Popieriaus g.",1,G1,0428,22270
1948,LTU,M,V,0,Šeškinė,"Gelvonų g.",5,G1,0141,21997
1990,LTU,V,,0,Naujamiestis,"Savanorių pr.",17,G1,0487,22328
1968,LTU,M,I,0,Žirmūnai,"Minties g.",2,G1,0345,22192
1973,LTU,M,V,0,"Naujoji  Vilnia","Širšių g.",14,G1,0666,22497
1952,ARM,V,V,0,Naujininkai,"Dariaus ir Girėno g.",19,G1,0089,21945
